City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Ahmedabad,2015-01-01,37.644,184.07999999999998,0.92,18.22,17.15,9.569999999999999,0.92,27.64,133.36,1.56,0.02,118.0,Moderate
Ahmedabad,2015-01-02,65.16799999999999,201.272,0.97,15.69,16.46,12.636,0.97,24.55,34.06,3.68,5.5,118.0,Moderate
Ahmedabad,2015-01-03,92.442,103.93800000000002,17.4,19.3,29.7,19.514000000000003,17.4,29.07,30.7,6.8,16.4,118.0,Moderate
Ahmedabad,2015-01-04,66.506,136.00799999999998,1.7,18.48,17.97,14.908000000000001,1.7,18.59,36.08,4.43,10.14,118.0,Moderate
Ahmedabad,2015-01-05,89.868,139.06,22.1,21.42,37.76,7.523999999999999,22.1,39.33,39.31,7.01,18.89,118.0,Moderate
Ahmedabad,2015-01-06,57.42800000000001,158.096,45.41,38.48,81.5,28.772000000000002,45.41,45.76,46.51,5.42,10.83,118.0,Moderate
Ahmedabad,2015-01-07,81.922,79.0,112.16,40.62,130.77,18.336000000000002,112.16,32.28,33.47,1.56,4.03,118.0,Moderate
Ahmedabad,2015-01-08,51.736000000000004,127.58200000000002,80.87,36.74,96.75,16.772,80.87,38.54,31.89,1.56,4.03,118.0,Moderate
Ahmedabad,2015-01-09,66.282,173.9,29.16,31.0,48.0,24.464,29.16,58.68,25.75,1.56,4.03,118.0,Moderate
Ahmedabad,2015-01-10,69.768,97.882,7.266,7.04,24.25,1.376,0.96,8.29,4.55,1.56,4.03,118.0,Moderate
Ahmedabad,2015-01-11,89.15400000000001,131.738,132.07,55.8,24.53,27.954,132.07,25.03,6.79,1.56,4.03,118.0,Moderate
Ahmedabad,2015-01-12,60.56600000000001,154.01,52.04,40.67,90.24,31.617999999999995,52.04,51.84,45.89,2.41,0.03,118.0,Moderate
Ahmedabad,2015-01-13,51.68000000000001,148.314,48.82,44.2,87.09,33.912,48.82,68.21,35.16,9.45,13.35,118.0,Moderate
Ahmedabad,2015-01-14,89.364,222.504,19.2,27.86,33.05,22.54,19.2,52.65,20.96,2.16,2.26,118.0,Moderate
Ahmedabad,2015-01-15,27.096000000000004,123.49600000000001,0.6,16.96,16.6,5.774,0.6,28.89,47.63,0.14,0.04,118.0,Moderate
Ahmedabad,2015-01-16,68.736,69.80600000000001,1.63,21.72,22.86,9.39,1.63,38.27,46.03,0.35,0.05,118.0,Moderate
Ahmedabad,2015-01-17,29.427999999999997,116.744,11.44,24.73,34.75,8.164,11.44,49.5,52.24,0.68,4.03,118.0,Moderate
Ahmedabad,2015-01-18,35.285999999999994,130.274,6.1,25.77,29.57,8.09,6.1,48.43,53.49,0.74,0.21,118.0,Moderate
Ahmedabad,2015-01-19,63.065999999999995,98.33800000000001,2.51,26.88,27.45,8.33,2.51,50.03,49.48,0.26,0.02,118.0,Moderate
Ahmedabad,2015-01-20,41.41799999999999,83.36800000000001,7.92,26.8,32.4,7.918000000000001,7.92,58.87,56.37,0.24,0.01,118.0,Moderate
Ahmedabad,2015-01-21,46.666,94.09400000000001,9.52,33.56,39.28,8.708000000000002,9.52,106.93,48.75,0.33,4.03,118.0,Moderate
Ahmedabad,2015-01-22,51.715999999999994,181.448,9.05,17.51,22.33,5.8020000000000005,9.05,23.71,42.22,1.56,4.03,118.0,Moderate
Ahmedabad,2015-01-23,84.89,193.40400000000002,22.53,27.96,47.79,18.232,22.53,39.19,32.92,0.39,4.03,118.0,Moderate
Ahmedabad,2015-01-24,68.736,97.88200000000002,2.03,20.39,21.4,9.75,2.03,40.07,32.49,0.47,0.7,118.0,Moderate
Ahmedabad,2015-01-25,56.33200000000001,127.71000000000001,1.42,20.43,20.19,7.446,1.42,58.41,39.26,0.01,4.03,118.0,Moderate
Ahmedabad,2015-01-26,59.164,93.91000000000001,2.27,21.16,21.81,5.696,2.27,43.73,39.83,0.06,4.03,118.0,Moderate
Ahmedabad,2015-01-27,59.398,97.88200000000002,2.19,21.7,23.26,7.422,2.19,43.28,41.1,0.02,4.03,118.0,Moderate
Ahmedabad,2015-01-28,73.24,103.546,5.72,21.11,25.84,8.464,5.72,36.52,62.42,0.03,0.01,118.0,Moderate
Ahmedabad,2015-01-29,83.13,173.3,6.93,28.71,33.72,6.9719999999999995,6.93,49.52,59.76,0.02,4.03,209.0,Poor
Ahmedabad,2015-01-30,79.84,248.62399999999997,13.85,28.68,41.08,35.470000000000006,13.85,48.49,97.07,0.04,4.03,328.0,Very Poor
Ahmedabad,2015-01-31,94.52,148.908,24.39,32.66,52.61,20.375999999999998,24.39,67.39,111.33,0.24,0.01,514.0,Severe
Ahmedabad,2015-02-01,135.99,358.698,43.48,42.08,84.57,6.62,43.48,75.23,102.7,0.4,0.04,782.0,Severe
Ahmedabad,2015-02-02,178.33,312.07,54.56,35.31,72.8,6.343999999999999,54.56,55.04,107.38,0.46,0.06,914.0,Severe
Ahmedabad,2015-02-03,139.7,387.678,30.61,28.4,56.73,10.89,30.61,33.79,73.6,0.17,0.03,660.0,Severe
Ahmedabad,2015-02-04,80.65,173.868,2.37,22.83,24.0,17.088,2.37,25.73,47.3,1.56,4.03,294.0,Poor
Ahmedabad,2015-02-05,58.36,151.742,2.6,21.39,23.31,35.392,2.6,32.66,53.54,1.56,4.03,149.0,Moderate
Ahmedabad,2015-02-06,79.29,173.234,1.16,26.94,26.83,6.62,1.16,67.41,59.3,1.56,4.03,190.0,Moderate
